,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone
74,3,0,1,3,2,1,1
75,3,0,1,0,2,1,1
76,3,0,1,0,2,1,1
77,3,0,1,1,2,1,1
78,2,0,0,2,2,4,0
79,3,1,1,1,2,2,1
80,3,0,1,1,2,1,1
81,3,0,1,1,2,1,1
82,3,1,1,0,1,2,1
83,1,0,1,3,2,1,1
84,2,1,1,1,2,2,1
85,3,1,2,2,2,3,0
86,3,0,0,3,2,1,0
87,3,0,1,1,2,1,1
88,1,1,1,3,2,2,0
89,3,0,1,1,2,1,1
90,3,0,1,1,2,1,1
91,3,0,1,0,2,1,1
92,1,0,2,3,2,1,0
93,3,0,1,2,2,1,0
94,3,0,3,0,2,1,1
95,3,0,1,1,2,1,1
96,1,0,71,3,0,1,1
97,1,0,1,3,0,1,0
98,2,1,2,2,2,3,0
99,2,0,2,2,2,1,0
100,3,1,1,0,2,2,1
101,3,0,1,0,2,1,1
102,1,0,1,3,2,1,0
103,3,0,2,1,2,1,1
104,3,0,2,1,2,1,0
105,3,0,1,0,2,1,1
106,3,1,1,0,2,2,1
107,3,0,1,0,2,1,1
108,3,0,2,0,2,1,1
109,3,1,1,2,1,2,0
110,1,0,2,3,2,1,1
111,3,1,0,2,0,2,0
112,3,0,1,1,2,1,1
113,3,1,1,1,2,2,0
114,3,1,1,2,0,2,1
115,3,0,1,1,2,1,1
116,3,0,70,0,1,1,1
117,2,0,1,2,2,1,0
118,1,0,1,3,0,1,0
119,3,1,0,3,2,2,0
120,2,0,1,3,2,1,0
121,3,0,1,1,2,1,1
122,2,0,2,2,0,1,0
123,2,1,2,1,2,2,1
124,1,0,3,3,2,1,0
125,3,0,0,1,0,4,0
126,3,0,1,0,1,1,1
127,3,0,1,0,2,1,1
128,3,1,1,2,0,2,0
129,3,0,2,0,2,1,1
130,3,0,2,0,0,1,1
131,3,0,1,0,2,1,1
132,3,1,2,2,2,3,0
133,2,1,1,2,2,3,0
134,2,0,1,1,2,1,1
135,2,0,1,2,0,1,1
136,1,1,1,2,2,2,0
137,1,0,2,3,2,1,0
138,3,0,0,1,2,1,1
139,1,0,1,3,0,1,1
140,3,1,1,2,0,3,0
141,3,1,1,0,2,2,1
142,3,1,1,2,2,3,0
143,3,0,1,0,1,1,1
144,2,0,1,1,2,1,1
145,2,0,1,3,2,1,0
146,3,0,1,0,2,1,1
147,3,1,0,3,2,2,0
148,2,0,2,2,2,1,0
149,2,0,2,1,2,5,1
150,2,0,3,1,2,5,1
151,1,1,1,3,2,3,0
152,3,0,3,1,2,1,1
153,3,0,2,2,2,1,0
154,3,0,1,0,2,1,1
155,1,0,3,3,0,1,0
156,3,1,0,0,1,2,1
157,3,0,1,1,2,1,1
158,3,0,1,1,2,1,1
159,3,0,1,3,2,4,0
160,3,0,2,2,2,1,0
161,2,1,2,2,2,3,1
162,3,0,1,0,2,1,1
163,3,0,1,1,2,1,1
164,3,0,0,3,2,4,0
165,3,0,0,2,2,4,0
166,1,1,1,3,2,3,0
167,3,1,2,2,2,3,0
168,1,0,1,2,2,1,1
169,3,0,1,3,2,1,1
170,1,0,3,3,2,1,1
171,3,0,0,2,1,4,0
172,3,1,0,1,2,2,0
173,3,0,1,1,2,1,1
174,1,0,3,2,0,1,1
175,3,0,1,0,2,1,0
176,3,0,1,2,2,4,0
177,1,1,3,2,0,2,1
178,2,0,1,1,2,1,1
179,3,0,2,0,2,1,1
180,3,1,1,3,2,2,0
181,2,0,1,2,0,1,1
182,3,0,0,3,2,4,0
183,2,0,0,3,2,4,0
184,3,1,0,2,2,2,0
185,1,0,1,3,2,1,1
186,3,1,1,2,1,3,0
187,1,0,2,2,2,1,1
188,3,0,2,2,1,1,0
189,3,0,2,0,2,1,1
190,2,1,1,1,2,3,1
191,2,0,1,1,2,1,1
192,3,1,1,0,2,2,0
193,2,0,0,2,2,4,0
194,1,1,2,2,0,3,1
195,1,1,3,3,0,2,1
196,3,0,1,0,1,1,1
197,3,0,2,1,2,1,0
198,3,1,1,0,1,2,1
199,2,1,1,1,2,2,1
200,3,0,1,1,2,1,1
201,3,0,1,3,2,1,0
202,3,0,2,0,2,1,1
203,3,0,2,0,0,1,1
204,3,0,1,1,2,1,1
205,3,1,0,1,2,2,0
206,3,0,1,2,2,1,0
207,3,0,1,2,0,1,1
208,3,1,0,0,1,2,1
209,1,0,2,2,0,1,1
210,3,0,1,0,2,1,1
211,2,1,2,2,2,2,1
212,3,0,1,0,2,1,1
213,2,0,1,1,2,1,1
214,3,0,1,0,1,1,0
215,1,1,1,3,0,2,0
216,3,1,1,1,2,2,1
217,2,0,2,2,2,1,0
218,1,1,1,3,0,2,1
219,2,0,1,1,2,1,1
220,3,0,0,1,2,1,1
221,2,0,1,1,2,1,1
222,3,0,3,1,2,1,1
223,3,0,1,0,2,1,1
224,1,0,2,3,2,1,0
225,3,0,1,1,2,1,1
226,2,0,1,1,2,1,1
227,3,0,1,0,2,1,1
228,2,0,1,1,2,1,1
229,3,1,1,2,2,2,0
230,1,1,2,3,2,3,0
231,3,0,1,0,2,1,1
232,2,0,3,1,2,1,1
233,3,1,0,3,2,2,0
234,2,0,1,1,2,1,1
235,3,1,1,0,2,2,1
236,2,0,2,2,2,1,0
237,2,1,0,2,2,2,0
238,2,0,1,1,2,1,1
239,2,0,2,1,2,1,1
240,3,1,1,2,0,2,0
241,3,1,1,2,1,2,0
242,2,0,1,1,2,1,1
243,3,0,1,0,2,1,1
244,3,0,1,0,0,1,1
245,1,0,2,3,1,5,0
246,3,1,1,0,2,2,1
247,2,1,1,2,2,3,0
248,1,0,2,3,2,1,0
249,2,0,3,2,2,5,0
250,3,0,1,0,2,1,1
251,3,1,1,1,2,3,0
252,1,0,3,2,2,1,1
253,3,0,1,2,2,1,0
254,3,1,2,2,2,3,0
255,3,1,1,2,0,3,0
256,1,1,1,3,0,3,1
257,1,1,1,3,2,2,1
258,1,1,2,3,0,2,1
259,2,1,3,2,2,3,0
260,3,0,1,0,1,1,1
261,3,0,0,3,2,4,0
262,1,0,3,3,2,1,0
263,1,0,2,0,2,1,1
264,3,1,1,0,1,2,1
265,2,0,2,1,2,1,1
266,3,0,0,3,2,1,0
267,3,0,1,0,2,1,0
268,1,1,3,3,2,3,0
269,1,1,2,3,2,2,1
270,1,0,1,2,2,1,1
271,3,0,1,0,2,1,1
272,2,1,2,2,2,3,0
273,1,0,2,2,0,1,0
274,3,1,1,0,1,2,1
275,1,1,3,3,2,2,0
276,3,1,2,0,2,2,1
277,2,0,1,0,2,1,1
278,3,0,0,2,1,4,0
279,3,1,2,2,2,3,0
280,3,0,65,0,1,1,1
281,3,0,1,0,2,1,1
282,3,0,0,1,2,1,1
283,3,0,1,1,2,1,1
284,1,0,1,2,2,1,1
285,3,0,2,1,0,1,1
286,3,0,1,1,2,1,1
287,3,0,1,0,2,1,1
288,2,0,2,1,2,1,1
289,3,1,1,0,1,2,1
290,1,1,1,3,2,2,1
291,1,1,1,3,0,3,0
292,2,0,2,1,0,1,1
293,3,1,1,1,2,2,1
294,3,0,1,0,2,1,1
295,1,0,1,2,0,1,1
296,3,0,1,0,0,1,1
297,1,1,0,3,2,2,0
298,1,0,1,2,2,1,1
299,1,1,3,3,0,3,0
300,3,1,1,0,1,2,1
301,3,0,1,2,1,1,0
302,3,0,1,0,2,1,1
303,2,1,1,1,1,2,1
304,3,0,1,1,2,1,1
305,1,0,0,3,2,4,0
306,1,1,1,3,0,2,1
307,1,1,1,3,0,3,0
308,2,0,1,2,0,1,0
309,1,1,1,3,0,2,1
310,1,1,1,3,0,2,1
311,1,1,1,3,0,2,0
312,2,1,1,2,2,3,0
313,3,0,1,0,2,1,1
314,2,0,2,2,2,1,0
315,3,1,1,0,2,2,1
316,2,1,1,2,2,3,0
317,2,0,3,1,2,5,1
318,1,1,1,3,2,2,0
319,1,1,2,3,0,3,0
320,3,0,1,0,2,1,1
321,3,0,1,0,2,1,1
322,2,1,1,1,1,2,1
323,2,1,1,2,2,3,0
324,3,0,1,3,2,1,0
325,1,1,2,3,0,2,1
326,3,0,3,0,2,1,1
327,2,1,2,1,2,3,1
328,3,1,1,2,2,3,0
329,1,1,0,3,0,2,0
330,3,1,1,2,1,2,0
331,1,0,2,2,2,1,1
332,1,0,2,3,2,1,0
333,3,0,0,2,2,1,0
334,1,1,1,3,2,3,0
335,3,0,1,0,2,1,1
336,1,0,1,3,2,1,0
337,1,1,2,3,0,2,1
338,3,0,2,1,2,1,1
339,1,0,2,3,2,1,1
340,2,0,0,2,2,4,0
341,1,1,1,3,2,2,0
342,2,0,1,1,2,1,1
343,2,0,1,1,2,1,1
344,2,0,2,1,2,1,1
345,2,1,1,1,2,2,1
346,2,1,2,1,2,2,1
347,3,1,1,2,2,3,0
348,3,0,0,2,2,4,0
349,3,0,2,1,2,1,1
350,3,0,1,1,2,1,1
351,1,0,1,3,2,1,1
352,3,0,0,0,0,1,0
353,3,0,1,2,2,1,0
354,3,0,1,0,0,1,1
355,3,0,1,1,2,1,1
356,1,1,1,3,2,2,0
357,2,1,2,1,2,2,1
358,3,1,1,0,1,2,1
359,3,1,1,0,1,2,1
360,3,0,2,2,2,1,0
361,2,0,1,2,0,1,0
362,3,1,2,2,0,3,0
363,3,0,2,0,2,1,1
364,3,0,1,2,1,1,0
365,3,0,1,0,2,1,1
366,1,1,3,3,0,3,0
367,3,1,1,0,0,3,1
368,3,1,1,0,1,2,1
369,1,1,1,3,0,3,1
370,1,0,1,3,0,1,0
371,3,0,1,0,2,1,0
372,3,0,1,1,2,1,1
373,1,0,1,3,0,1,1
374,3,1,0,2,2,2,0
375,1,1,1,3,0,3,0
376,3,1,1,0,2,2,1
377,1,0,1,3,0,1,0
378,3,0,1,0,0,1,1
379,3,0,1,0,2,1,1
380,1,1,2,3,0,2,1
381,3,1,0,2,0,2,0
382,3,0,1,1,2,1,1
383,1,1,2,3,2,3,0
384,3,0,1,0,2,1,1
385,2,0,1,3,2,1,1
386,3,0,0,3,2,4,0
387,2,1,2,1,2,2,1
388,3,0,1,0,1,1,1
389,2,1,1,1,0,2,1
390,1,0,2,3,2,1,0
391,3,0,1,0,2,1,1
392,3,0,1,1,2,1,0
393,1,1,1,3,0,2,0
394,3,1,1,2,2,3,0
395,3,0,1,0,2,1,1
396,3,1,1,0,2,2,1
397,2,0,2,2,2,1,1
398,2,0,1,1,2,5,1
399,2,1,1,1,2,3,1
400,3,0,2,1,2,1,1
401,3,0,1,1,2,1,1
402,3,1,1,1,2,2,0
403,3,0,1,2,2,1,0
404,3,1,1,1,2,2,1
405,2,0,2,2,2,1,0
406,3,0,3,0,2,1,1
407,2,0,0,2,2,4,0
408,3,0,1,0,2,1,1
409,3,1,1,2,2,2,0
410,3,0,1,0,2,1,1
411,3,0,1,0,1,1,1
412,1,1,2,3,1,2,0
413,2,0,1,0,2,1,1
414,3,0,2,1,2,1,1
415,3,1,1,1,2,3,1
416,2,1,2,3,2,3,0
417,2,1,1,1,2,2,0
418,2,0,1,1,2,1,1
419,3,1,0,2,2,2,0
420,3,0,1,0,0,1,1
421,3,0,1,0,1,1,1
422,3,0,1,0,2,1,1
423,3,1,1,1,2,3,0
424,3,0,1,2,2,1,0
425,3,0,1,0,2,1,1
426,2,1,1,2,2,3,0
427,2,1,1,2,2,2,1
428,3,0,1,0,1,1,1
429,3,0,1,1,2,1,1
430,1,0,1,2,2,1,1
431,3,1,1,2,2,3,0
432,2,1,2,2,2,3,0
433,3,0,1,0,2,1,1
434,1,0,3,3,2,1,0
435,1,1,0,3,2,2,0
436,3,1,1,3,2,2,0
437,2,1,1,2,2,3,0
438,1,0,3,3,2,1,0
439,2,0,1,1,2,1,1
440,2,1,2,2,2,3,0
441,3,0,1,1,2,1,1
442,3,0,1,0,2,1,0
443,2,1,1,1,2,2,1
444,3,0,1,1,2,1,1
445,1,0,0,3,2,4,0
446,2,1,0,2,2,2,0
447,1,0,2,2,2,1,1
448,3,1,0,2,0,2,0
449,1,0,3,2,2,5,1
450,2,0,2,2,2,1,0
451,3,0,1,2,2,1,0
452,1,0,1,2,0,1,1
453,1,0,3,3,0,1,0
454,3,0,1,1,2,1,1
455,3,0,1,0,0,1,1
456,1,0,65,2,2,1,1
457,1,1,1,3,2,3,0
458,2,1,3,1,2,2,1
459,3,0,1,0,1,1,1
460,1,0,2,2,2,1,1
461,3,0,2,1,2,1,1
462,1,0,2,3,2,1,1
463,2,0,2,1,2,1,1
464,3,0,1,1,2,1,1
465,3,0,2,0,2,1,1
466,2,0,1,0,2,1,1
467,1,0,3,2,2,1,1
468,3,0,1,0,1,1,1
469,3,1,0,2,0,2,0
470,3,0,1,0,2,1,1
471,3,0,2,1,2,1,1
472,2,1,2,2,2,3,0
473,2,1,1,1,0,3,1
474,3,1,1,1,2,2,1
475,1,0,1,3,2,1,1
476,2,0,2,2,2,1,0
477,3,0,1,0,2,1,0
478,3,0,1,0,2,1,1
479,3,1,0,1,2,2,0
480,3,0,0,3,2,4,0
481,2,0,1,0,2,1,1
482,3,0,3,1,2,1,1
483,3,1,3,1,2,3,1
484,1,0,1,3,0,1,0
485,3,1,1,2,2,2,0
486,1,1,2,3,2,3,0
487,1,0,3,2,0,1,1
488,3,0,1,1,2,1,1
489,3,0,0,2,2,4,0
490,3,0,1,2,2,1,0
491,3,0,1,0,2,1,1
492,1,0,3,2,2,1,1
493,1,0,71,3,0,1,1
494,3,0,1,1,2,1,1
495,3,0,1,2,0,1,1
496,1,1,3,3,0,2,0
497,3,0,1,2,2,1,1
498,1,1,1,3,2,3,0
499,3,0,1,0,2,1,1
500,3,0,1,1,2,1,1
501,3,1,1,0,1,2,1
502,3,1,1,0,1,2,1
503,3,1,2,1,2,2,1
504,1,1,0,3,2,2,1
505,1,0,1,3,0,1,0
506,2,1,2,2,2,3,0
507,1,0,1,2,2,1,1
508,3,0,1,2,2,1,1
509,3,0,1,3,2,1,1
510,3,0,1,0,1,1,1
511,3,0,1,1,2,1,1
512,1,0,2,2,2,1,1
513,1,1,3,3,0,3,0
514,3,0,1,0,2,1,1
515,1,0,2,3,2,1,1
516,2,1,2,1,2,3,1
517,3,0,1,2,1,1,1
518,2,1,2,2,2,3,0
519,3,0,1,0,2,1,1
520,1,1,1,3,2,2,1
521,3,0,1,0,2,1,1
522,3,0,1,0,0,1,1
523,1,1,2,3,0,3,0
524,3,0,1,0,0,1,1
525,3,0,2,0,1,1,1
526,2,1,3,1,2,2,1
527,1,0,1,3,2,1,1
528,3,0,2,1,2,1,1
529,2,0,1,1,2,1,0
530,2,1,0,2,2,2,0
531,3,0,1,0,0,1,1
532,3,0,1,0,0,1,0
533,3,1,1,2,0,3,0
534,3,1,1,1,2,2,1
535,2,1,0,2,2,2,0
536,1,0,2,2,2,5,1
537,1,1,1,3,0,2,1
538,3,0,1,2,2,1,1
539,1,1,1,3,0,2,0
540,1,1,2,3,2,2,0
541,3,1,0,3,2,2,0
542,3,1,0,3,2,2,0
543,2,0,1,2,2,1,0
544,1,0,3,3,0,1,0
545,1,0,3,2,2,1,1
546,2,1,1,2,2,3,0
547,2,0,1,1,0,1,1
548,3,0,2,2,2,1,0
549,2,0,0,3,2,4,0
550,1,0,1,3,0,1,0
551,2,0,1,2,2,1,1
552,3,0,1,0,1,1,1
553,3,0,1,0,0,1,1
554,3,1,1,0,2,2,1
555,1,0,3,2,2,1,1
556,1,1,2,3,0,5,0
557,1,0,1,3,0,1,1
558,1,1,2,3,2,3,0
559,3,1,2,2,2,3,0
560,3,0,1,0,1,1,1
561,3,0,2,0,2,1,1
562,2,0,1,1,2,1,1
563,3,0,1,1,2,1,1
564,3,1,1,1,2,2,1
565,3,0,1,2,2,1,0
566,3,0,1,0,2,1,1
567,3,1,1,2,2,3,0
568,3,0,1,0,0,1,1
569,3,0,1,0,2,1,1
570,2,0,3,1,2,1,1
571,1,1,3,3,2,3,0
572,1,0,2,2,2,1,1
573,3,1,1,0,1,2,1
574,3,0,0,1,2,1,1
575,3,0,1,2,2,1,1
576,2,1,2,1,2,2,1
577,1,1,2,3,2,3,0
578,3,1,1,2,0,3,0
579,3,0,1,1,2,1,1
580,2,1,1,2,2,2,0
581,1,1,2,3,0,3,0
582,2,0,3,2,2,1,1
583,1,0,2,3,0,1,1
584,3,0,1,1,0,1,1
585,1,1,1,3,2,2,0
586,2,0,2,2,2,1,1
587,1,0,3,3,0,1,0
588,3,0,1,1,2,1,1
589,3,0,1,1,2,1,1
590,3,0,2,0,2,1,1
591,1,1,3,3,0,3,0
592,3,0,2,0,2,1,1
593,3,1,1,0,1,2,0
594,2,0,2,2,2,1,0
595,3,0,2,2,2,1,0
596,2,1,1,3,2,2,1
597,3,0,3,0,2,1,1
598,3,0,1,0,0,1,1
599,1,0,3,3,0,5,0
600,2,1,1,2,2,3,0
601,3,0,1,0,2,1,1
602,1,0,1,3,2,1,1
603,3,0,2,1,2,1,1
604,1,0,2,2,0,1,1
605,3,0,2,2,2,1,0
606,3,0,1,0,2,1,1
607,1,0,1,2,2,1,1
608,2,1,1,3,0,3,0
609,1,1,2,3,2,2,1
610,3,1,2,3,2,3,0
611,3,0,1,0,2,1,1
612,3,1,1,2,1,2,0
613,3,0,1,0,1,1,1
614,3,0,2,1,2,1,1
615,2,1,1,3,2,2,0
616,3,0,2,1,2,1,0
617,3,1,1,2,2,3,0
618,2,1,0,3,2,2,0
619,2,0,1,1,2,1,1
620,3,0,1,2,0,1,0
621,1,0,2,3,2,1,0
622,3,0,1,2,0,1,0
623,3,0,1,0,2,1,1
624,3,0,1,2,2,1,1
625,1,0,3,3,2,1,1
626,2,0,3,1,1,5,1
627,1,1,1,3,2,2,1
628,3,0,1,0,2,1,1
629,3,0,1,0,1,1,1
630,1,0,80,2,2,1,1
631,3,0,3,0,2,1,1
632,1,0,1,2,0,5,1
633,1,0,1,0,2,1,1
634,3,1,0,2,2,2,0
635,2,1,1,1,2,2,1
636,3,0,1,1,2,1,1
637,2,0,1,2,2,1,0
638,3,1,2,3,2,3,0
639,3,0,1,2,2,1,0
640,3,0,1,0,2,1,1
641,1,1,1,3,0,2,1
642,3,1,0,2,2,2,0
643,3,0,1,3,2,1,1
644,3,1,0,2,0,2,0
645,1,0,2,3,0,1,0
646,3,0,1,0,2,1,1
647,1,0,3,3,0,5,1
648,3,0,1,0,2,1,1
649,3,1,1,0,2,2,1
650,3,0,1,0,2,1,1
651,2,1,1,2,2,2,0
652,3,0,1,1,2,1,1
653,3,1,1,0,1,2,1
654,3,1,1,0,1,2,1
655,2,0,1,3,2,1,0
656,3,0,1,0,2,1,1
657,3,1,1,2,1,3,0
658,2,0,1,1,2,1,1
659,1,0,3,3,0,1,0
660,1,0,3,3,2,5,0
661,3,0,2,0,0,1,1
662,1,0,2,2,2,1,1
663,3,0,2,0,2,1,1
664,3,0,1,1,2,1,0
665,2,0,1,3,2,1,0
666,2,0,1,1,2,1,1
667,3,0,1,0,2,1,1
668,3,0,2,1,2,1,1
669,1,1,1,3,2,3,0
670,2,1,2,3,2,3,0
671,1,0,1,3,2,1,0
672,2,0,70,1,2,1,1
673,2,0,1,1,2,1,1
674,2,0,1,0,2,1,1
675,3,0,1,0,2,1,1
676,3,0,1,1,2,1,1
677,3,1,1,1,2,2,1
678,3,1,2,3,2,3,0
679,1,0,2,3,0,1,0
680,3,1,1,1,1,2,1
681,1,0,1,3,0,1,1
682,3,0,1,1,2,1,1
683,3,0,0,3,2,1,0
684,2,0,3,3,2,1,0
685,2,0,1,3,0,1,0
686,3,0,0,3,2,1,0
687,3,0,1,1,2,1,1
688,3,0,1,0,2,1,1
689,1,1,0,3,2,2,0
690,1,0,1,3,2,1,0
691,3,1,0,1,0,2,0
692,3,0,1,3,2,1,1
693,3,0,1,0,0,1,1
694,1,0,3,2,2,5,1
695,2,0,3,1,2,1,1
696,3,0,2,1,2,1,1
697,3,1,1,0,1,2,1
698,1,0,3,3,0,1,0
699,3,0,2,0,2,1,1
700,1,1,1,3,0,3,0
701,1,0,2,2,2,1,1
702,3,1,1,2,0,2,0
703,3,0,1,0,1,1,1
704,3,0,1,0,2,1,0
705,2,0,2,2,2,1,1
706,2,1,2,1,2,3,1
707,1,0,2,2,2,1,1
708,1,1,1,3,2,2,1
709,3,0,1,2,0,4,0
710,1,1,1,3,0,2,1
711,1,0,1,2,2,1,1
712,1,0,2,3,2,1,0
713,3,0,1,1,2,1,1
714,2,0,3,1,2,1,1
715,3,0,1,0,2,1,1
716,1,1,2,3,0,2,1
717,2,1,1,1,2,2,1
718,3,0,1,2,1,1,1
719,3,0,2,0,2,1,1
720,2,1,0,3,2,2,0
721,3,0,1,0,2,1,0
722,2,0,2,1,2,1,1
723,2,0,3,1,2,1,1
724,1,0,1,3,2,1,0
725,3,0,1,1,2,1,1
726,2,1,1,2,2,3,0
727,3,1,1,0,1,2,1
728,2,0,1,2,2,1,0
729,3,1,1,1,2,2,0
730,1,1,1,3,2,2,1
731,3,0,0,2,0,1,1
732,2,0,1,0,2,1,1
733,2,0,1,1,2,1,1
734,2,0,1,1,2,1,1
735,3,0,1,2,2,1,1
736,3,1,2,3,2,3,0
737,1,0,2,3,0,1,1
738,3,0,1,0,2,1,1
739,3,0,1,0,2,1,1
740,1,0,1,2,2,1,1
741,1,0,2,3,2,1,0
742,1,1,1,3,0,2,0
743,3,0,1,2,2,1,0
744,3,0,1,1,2,1,1
745,1,0,70,3,2,5,0
746,3,0,0,2,2,1,0
747,2,1,1,1,2,2,1
748,1,0,1,3,2,1,0
749,3,0,1,0,1,1,1
750,2,1,0,2,2,2,0
751,3,0,0,1,2,4,0
752,3,0,2,1,2,1,1
753,3,0,1,0,2,1,1
754,2,1,2,3,2,3,0
755,2,0,0,2,2,4,0
756,3,0,1,0,2,1,1
757,2,0,1,1,2,1,1
758,3,0,2,1,2,1,1
759,1,1,2,3,2,5,1
760,3,0,1,2,2,1,1
761,3,0,2,0,2,1,1
762,3,0,1,0,0,1,1
763,1,1,2,3,2,3,0
764,3,0,0,0,2,1,1
765,1,1,3,3,2,3,0
766,1,0,1,3,0,5,1
767,3,1,1,0,1,2,1
768,3,0,1,2,1,1,0
769,3,0,1,1,2,1,1
770,3,0,1,1,2,1,1
771,3,0,2,0,2,1,1
772,2,1,3,1,2,3,1
773,3,0,1,0,0,1,1
774,2,1,3,2,2,3,0
775,3,0,1,0,2,1,1
776,3,0,1,0,1,1,1
777,3,1,0,1,2,2,1
778,3,0,1,0,1,1,1
779,1,1,2,3,2,3,0
780,3,1,0,0,0,2,1
781,1,1,1,3,2,3,0
782,1,0,1,2,2,1,1
783,3,0,1,2,2,1,0
784,3,0,1,0,2,1,1
785,3,0,1,0,2,1,1
786,3,1,1,0,2,2,1
787,3,0,0,2,1,4,0
788,3,0,0,2,2,4,0
789,1,0,2,3,0,1,1
790,3,0,1,0,1,1,1
791,2,0,0,2,2,1,1
792,3,1,1,3,2,2,0
793,1,0,1,2,0,1,1
794,3,0,1,0,2,1,1
795,2,0,2,1,2,1,1
796,1,1,3,2,2,5,1
797,3,1,1,1,2,3,1
798,3,0,1,0,0,1,1
799,3,1,1,2,2,3,0
800,2,0,2,1,2,1,1
801,2,1,1,2,2,3,0
802,1,0,0,3,2,4,0
803,3,0,0,1,0,4,0
804,3,0,1,0,2,1,1
805,3,0,1,0,2,1,1
806,1,0,2,0,2,1,1
807,3,1,1,0,2,2,1
808,2,0,2,1,2,1,1
809,1,1,2,3,2,3,0
810,3,0,1,0,2,1,1
811,3,0,2,2,2,1,1
812,2,0,2,1,2,1,1
813,3,1,0,3,2,2,0
814,3,0,1,1,2,1,1
815,1,0,1,0,2,1,1
816,3,1,1,1,2,2,1
817,2,0,1,3,0,1,0
818,3,0,2,0,2,1,1
819,3,0,0,2,2,4,0
820,1,1,3,3,2,3,0
821,3,0,1,1,2,1,1
822,1,0,2,0,2,5,1
823,3,1,1,1,2,3,0
824,3,0,0,3,2,4,0
825,3,0,1,0,1,1,1
826,3,0,1,3,2,1,1
827,2,0,0,3,0,4,0
828,3,0,1,0,1,1,1
830,3,1,0,2,0,3,0
831,2,0,0,2,2,4,0
832,3,0,1,0,0,1,1
833,3,0,1,0,2,1,1
834,3,0,1,1,2,1,1
835,1,1,2,3,0,2,0
836,3,0,1,1,2,1,1
837,3,0,1,1,2,1,1
838,3,0,1,3,2,1,1
839,1,0,1,2,0,1,1
840,3,0,1,1,2,1,1
841,2,0,0,1,2,1,1
842,1,1,1,2,0,2,1
843,3,0,2,0,0,1,1
844,3,0,1,1,2,1,1
845,3,0,2,0,2,1,1
846,3,0,1,3,2,1,0
847,3,0,2,0,0,1,1
848,2,0,1,3,2,5,0
849,1,1,1,3,0,3,0
850,3,0,0,3,2,4,0
851,3,0,74,0,2,1,1
852,3,1,0,2,0,2,0
853,1,1,0,3,2,2,0
854,2,1,2,2,2,3,0
855,3,1,1,1,2,3,0
856,1,1,2,3,2,3,0
857,1,0,3,2,2,1,1
858,3,1,1,2,0,3,0
859,3,0,1,0,0,1,1
860,3,0,2,1,2,1,0
861,2,0,1,1,2,1,0
862,1,1,2,2,2,3,1
863,3,1,1,3,2,2,0
864,2,0,1,1,2,1,1
865,2,1,2,1,2,3,1
866,2,1,1,1,0,2,0
867,1,0,1,3,2,1,1
868,3,0,1,1,2,1,1
869,3,0,0,1,2,4,0
870,3,0,1,0,2,1,1
871,1,1,2,3,2,3,0
872,1,0,2,0,2,1,1
